gender,height,weight,sibling
F,161,41,3
F,163.5,50,2
F,168,50,2
F,154,52,1
F,160,48,1
F,163,48,1
F,170,60,2
F,168,50,1
F,169,49,1
F,167,57,1
F,157,45,1
F,158,58,3
F,164,61,3
F,159,46,0
F,155,48,2
F,167,50,1
F,158,52,2
F,169,56,1
F,163,53,1
F,171,57,3
F,154,50,1
F,158,45,3
F,168,70,1
F,172,58,2
F,164,48,2
F,158,44,3
F,160,50,3
F,155,45,1
F,155,46,1
F,156,41,1
F,163,45,0
F,160,44,2
F,165,55,1
F,160,52,1
F,161,48,2
F,170,55,1
F,163,75,3
F,161,45,1
F,164,54,3
F,158,52,0
F,158,48,0
F,154,45,2
F,152,49,2
F,158,43,1
F,155,37,0
F,167,54,1
F,158,53,2
F,167,52,1
F,155,44,1
F,160,51,2
F,162,49,1
F,158,56,1
F,158,42,2
F,167,50,1
F,152,60,2
F,155,40,1
F,168,46,1
F,165,47,2
F,162,52,1
F,152,40,2
F,165,65,1
M,168,60,3
M,167,72,1
M,168,60,2
M,178,60,1
M,175,85,2
M,170,67,1
M,176,65,2
M,185,75,1
M,182.5,70,2
M,162,70,0
M,172,55,2
M,179,72,1
M,168,58,1
M,180,56,1
M,165,65,2
M,179,70,2
M,175,73,1
M,177,62,2
M,169,55,3
M,173,61,0
M,172,71,2
M,171,65,1
M,172,60,1
M,179,82,2
M,167,71,1
M,168,64,1
M,171,66,0
M,178,72,2
M,174,68,1
M,174,58,2
M,166,58,2
M,172,62,1
M,170,59,2
M,173,63,1
M,178,58,1
M,176,58,0
